DateID,AirlineID,Service_Region,Direction,Flights,Passengers,Seats_Available,Seat_Utilisation
202505,30,ALL SERVICES,Outbound,76.0,16799.0,23256.0,0.722
202505,31,China,Outbound,164.0,32624.0,45340.0,0.72
202505,31,New Zealand,Outbound,8.0,909.0,2112.0,0.43
202505,31,ALL SERVICES,Outbound,172.0,33533.0,47452.0,0.7070000000000001
202505,32,China,Outbound,145.0,37344.0,40893.0,0.913
202505,35,USA,Outbound,30.0,6488.0,9180.0,0.7070000000000001
202505,37,New Zealand,Outbound,31.0,5775.0,15004.0,0.385
202505,37,United Arab Emirates,Outbound,350.0,119420.0,151167.0,0.79
202505,37,ALL SERVICES,Outbound,381.0,125195.0,166171.0,0.753
202505,38,United Arab Emirates,Outbound,66.0,18928.0,20469.0,0.925
202505,39,Taiwan,Outbound,14.0,4072.0,4788.0,0.85
202505,40,China,Outbound,25.0,,,
202505,40,Singapore,Outbound,,,,
202505,40,USA,Outbound,,,,
202505,40,ALL SERVICES,Outbound,25.0,,,
202505,41,Fiji,Outbound,179.0,32584.0,39796.0,0.8190000000000001
202505,42,Indonesia,Outbound,60.0,13432.0,16311.0,0.823
202505,43,China,Outbound,27.0,6955.0,7886.0,0.882
202505,44,USA,Outbound,23.0,3829.0,6371.0,0.601
202505,46,Indonesia,Outbound,152.0,20324.0,27360.0,0.743
202505,49,Japan,Outbound,44.0,7734.0,8184.0,0.945
202505,50,Cook Islands,Outbound,22.0,3407.0,5104.0,0.6679999999999999
202505,50,Fiji,Outbound,27.0,4313.0,6264.0,0.6890000000000001
202505,50,Indonesia,Outbound,403.0,89256.0,93496.0,0.955
202505,50,Japan,Outbound,101.0,29608.0,33835.0,0.875
202505,50,Korea,Outbound,31.0,9399.0,10385.0,0.905
202505,50,New Zealand,Outbound,259.0,43680.0,50524.0,0.865
202505,50,USA,Outbound,13.0,3318.0,4355.0,0.762
202505,50,Vanuatu,Outbound,14.0,2078.0,2598.0,0.8
202505,50,Vietnam,Outbound,31.0,9854.0,10385.0,0.949
202505,50,ALL SERVICES,Outbound,1047.0,230859.0,259470.0,0.89
202505,51,Singapore,Outbound,9.0,665.0,1620.0,0.41
202505,53,China,Outbound,31.0,7705.0,9982.0,0.772
202505,55,Korea,Outbound,49.0,11444.0,13795.0,0.83
202505,57,Chile,Outbound,48.0,9735.0,12877.0,0.7559999999999999
202505,58,Malaysia,Outbound,212.0,39271.0,52746.0,0.745
202505,59,Malaysia,Outbound,150.0,21486.0,26656.0,0.8059999999999999
202505,60,Nauru,Outbound,21.0,872.0,2348.0,0.371
202505,64,Philippines,Outbound,89.0,16001.0,21250.0,0.753
202505,66,Canada,Outbound,13.0,2937.0,3067.0,0.958
202505,66,Chile,Outbound,18.0,3535.0,4242.0,0.833
202505,66,France,Outbound,12.0,2620.0,2831.0,0.926
202505,66,Hong Kong (SAR),Outbound,66.0,12591.0,16639.0,0.757
202505,66,India,Outbound,36.0,7784.0,8785.0,0.8859999999999999
202505,66,Indonesia,Outbound,97.0,20405.0,22659.0,0.901
202505,66,Japan,Outbound,124.0,30970.0,35530.0,0.872
202505,66,Korea,Outbound,2.0,491.0,594.0,0.8270000000000001
202505,66,Palau,Outbound,5.0,229.0,675.0,0.3389999999999999
202505,66,Papua New Guinea,Outbound,31.0,3530.0,5289.0,0.667
202505,66,Philippines,Outbound,49.0,11671.0,13521.0,0.863
202505,66,Singapore,Outbound,179.0,38392.0,47028.0,0.816
202505,66,Solomon Islands,Outbound,17.0,1087.0,1365.0,0.7959999999999999
202505,66,South Africa,Outbound,20.0,8170.0,9692.0,0.843
202505,66,Thailand,Outbound,36.0,7326.0,8603.0,0.852
202505,66,Tonga,Outbound,9.0,993.0,1258.0,0.789
202505,66,Vanuatu,Outbound,17.0,1164.0,1558.0,0.747
202505,66,Western Somoa,Outbound,13.0,1717.0,2112.0,0.813
202505,66,ALL SERVICES,Outbound,1757.0,307861.0,386416.0,0.797
202505,67,Qatar,Outbound,187.0,69792.0,73001.0,0.956
202505,68,Brunei,Outbound,23.0,2691.0,5842.0,0.461
202505,71,Singapore,Outbound,143.0,45552.0,51147.0,0.8909999999999999
202505,72,China,Outbound,35.0,9431.0,10341.0,0.912
202505,74,New Zealand,Outbound,14.0,,,
202505,74,Singapore,Outbound,646.0,153925.0,177099.0,0.8690000000000001
202505,74,USA,Outbound,,,,
202505,74,ALL SERVICES,Outbound,660.0,153925.0,177099.0,0.8690000000000001
202505,76,New Zealand,Outbound,5.0,229.0,735.0,0.312
202505,76,Solomon Islands,Outbound,13.0,1086.0,1911.0,0.568
202505,76,Vanuatu,Outbound,5.0,482.0,735.0,0.6559999999999999
202505,76,ALL SERVICES,Outbound,23.0,1797.0,3381.0,0.531
202505,77,South Africa,Outbound,20.0,3404.0,5060.0,0.6729999999999999
202505,78,Sri Lanka,Outbound,49.0,11593.0,14522.0,0.7979999999999999
202505,80,Hong Kong (SAR),Outbound,25.0,,,
202505,80,New Zealand,Outbound,48.0,,,
202505,80,ALL SERVICES,Outbound,73.0,,,
202505,87,Indonesia,Outbound,18.0,1802.0,3132.0,0.575
202505,88,Turkey,Outbound,31.0,7119.0,10199.0,0.698
202505,79,Korea,Outbound,15.0,4265.0,5205.0,0.8190000000000001
202505,89,USA,Outbound,122.0,22072.0,32340.0,0.682
202505,90,China,Outbound,14.0,,,
202505,90,Korea,Outbound,13.0,,,
202505,90,Singapore,Outbound,5.0,,,
202505,90,USA,Outbound,,,,
202505,90,ALL SERVICES,Outbound,32.0,,,
202505,92,Vietnam,Outbound,88.0,17052.0,31118.0,0.5479999999999999
202505,93,Vietnam,Outbound,85.0,21261.0,25998.0,0.818
202505,95,Fiji,Outbound,70.0,9904.0,12596.0,0.7859999999999999
202505,95,Indonesia,Outbound,136.0,22113.0,24626.0,0.898
202505,95,New Zealand,Outbound,33.0,4244.0,5868.0,0.723
202505,95,ALL SERVICES,Outbound,275.0,40455.0,49504.0,0.8170000000000001
202505,97,China,Outbound,51.0,12574.0,13936.0,0.902
