Year,Month,Airline_Name,Service_Region,Direction,Flights,Passengers,Seats_Available,Seat_Utilisation
2025,5,Emirates,ALL SERVICES,Outbound,381.0,125195.0,166171.0,75.3
2025,5,Etihad Airways,United Arab Emirates,Outbound,66.0,18928.0,20469.0,92.5
2025,5,Eva Air,Taiwan,Outbound,14.0,4072.0,4788.0,85.0
2025,5,Federal Express Corporation (a),China,Outbound,25.0,,,
2025,5,Federal Express Corporation,ALL SERVICES,Outbound,25.0,,,
2025,5,Fiji Airways,Fiji,Outbound,179.0,32584.0,39796.0,81.9
2025,5,Garuda Indonesia,Indonesia,Outbound,60.0,13432.0,16311.0,82.3
2025,5,Hainan Airlines,China,Outbound,27.0,6955.0,7886.0,88.2
2025,5,Hawaiian Airlines,USA,Outbound,23.0,3829.0,6371.0,60.1
2025,5,Indonesia AirAsia,Indonesia,Outbound,152.0,20324.0,27360.0,74.3
2025,5,Japan Airlines,Japan,Outbound,44.0,7734.0,8184.0,94.5
2025,5,Jetstar,Cook Islands,Outbound,22.0,3407.0,5104.0,66.8
2025,5,Jetstar,Fiji,Outbound,27.0,4313.0,6264.0,68.9
2025,5,Jetstar,Indonesia,Outbound,403.0,89256.0,93496.0,95.5
2025,5,Jetstar,Japan,Outbound,101.0,29608.0,33835.0,87.5
2025,5,Jetstar,Korea,Outbound,31.0,9399.0,10385.0,90.5
2025,5,Jetstar,New Zealand,Outbound,259.0,43680.0,50524.0,86.5
2025,5,Jetstar,Singapore,Outbound,53.0,11434.0,14974.0,76.4
2025,5,Jetstar,Thailand,Outbound,93.0,24512.0,27550.0,89.0
2025,5,Jetstar,USA,Outbound,13.0,3318.0,4355.0,76.2
2025,5,Jetstar,Vanuatu,Outbound,14.0,2078.0,2598.0,80.0
2025,5,Jetstar,Vietnam,Outbound,31.0,9854.0,10385.0,94.9
2025,5,Jetstar,ALL SERVICES,Outbound,1047.0,230859.0,259470.0,89.0
2025,5,Jetstar Asia,Singapore,Outbound,9.0,665.0,1620.0,41.0
2025,5,Juneyao Air,China,Outbound,31.0,7705.0,9982.0,77.2
2025,5,Korean Air,Korea,Outbound,49.0,11444.0,13795.0,83.0
2025,5,LATAM Airlines,Chile,Outbound,48.0,9735.0,12877.0,75.6
2025,5,Malaysia Airlines,Malaysia,Outbound,212.0,39271.0,52746.0,74.5
2025,5,Malindo Air,Malaysia,Outbound,150.0,21486.0,26656.0,80.6
2025,5,Nauru Airlines,Nauru,Outbound,21.0,872.0,2348.0,37.1
2025,5,Philippine Airlines,Philippines,Outbound,89.0,16001.0,21250.0,75.3
2025,5,Qantas Airways,Canada,Outbound,13.0,2937.0,3067.0,95.8
2025,5,Qantas Airways,Chile,Outbound,18.0,3535.0,4242.0,83.3
2025,5,Qantas Airways,East Timor,Outbound,31.0,1395.0,3007.0,46.4
2025,5,Qantas Airways,Fiji,Outbound,31.0,4810.0,5299.0,90.8
2025,5,Qantas Airways,France,Outbound,12.0,2620.0,2831.0,92.6
2025,5,Qantas Airways,Hong Kong (SAR),Outbound,66.0,12591.0,16639.0,75.7
2025,5,Qantas Airways,India,Outbound,36.0,7784.0,8785.0,88.6
2025,5,Qantas Airways,Indonesia,Outbound,97.0,20405.0,22659.0,90.1
2025,5,Qantas Airways,Japan,Outbound,124.0,30970.0,35530.0,87.2
2025,5,Qantas Airways,Korea,Outbound,2.0,491.0,594.0,82.7
2025,5,Qantas Airways,New Caledonia,Outbound,25.0,2211.0,3422.0,64.6
2025,5,Qantas Airways,New Zealand,Outbound,655.0,80432.0,110558.0,72.8
2025,5,Qantas Airways,Palau,Outbound,5.0,229.0,675.0,33.9
2025,5,Qantas Airways,Papua New Guinea,Outbound,31.0,3530.0,5289.0,66.7
2025,5,Qantas Airways,Philippines,Outbound,49.0,11671.0,13521.0,86.3
2025,5,Qantas Airways,Singapore,Outbound,179.0,38392.0,47028.0,81.6
2025,5,Qantas Airways,Solomon Islands,Outbound,17.0,1087.0,1365.0,79.6
2025,5,Qantas Airways,South Africa,Outbound,20.0,8170.0,9692.0,84.3
2025,5,Qantas Airways,Thailand,Outbound,36.0,7326.0,8603.0,85.2
2025,5,Qantas Airways,Tonga,Outbound,9.0,993.0,1258.0,78.9
2025,5,Qantas Airways,UK,Outbound,62.0,19339.0,22085.0,87.6
2025,5,Qantas Airways,USA,Outbound,209.0,44062.0,56597.0,77.9
2025,5,Qantas Airways,Vanuatu,Outbound,17.0,1164.0,1558.0,74.7
2025,5,Qantas Airways,Western Somoa,Outbound,13.0,1717.0,2112.0,81.3
2025,5,Qantas Airways,ALL SERVICES,Outbound,1757.0,307861.0,386416.0,79.7
2025,5,Qatar Airways,Qatar,Outbound,187.0,69792.0,73001.0,95.6
2025,5,Royal Brunei Airlines,Brunei,Outbound,23.0,2691.0,5842.0,46.1
2025,5,Scoot Tigerair,Singapore,Outbound,143.0,45552.0,51147.0,89.1
2025,5,Sichuan Airlines,China,Outbound,35.0,9431.0,10341.0,91.2
2025,5,Singapore Airlines,New Zealand,Outbound,14.0,,,
2025,5,Singapore Airlines,Singapore,Outbound,646.0,153925.0,177099.0,86.9
2025,5,Singapore Airlines,ALL SERVICES,Outbound,660.0,153925.0,177099.0,86.9
2025,5,Solomon Airlines,New Zealand,Outbound,5.0,229.0,735.0,31.2
2025,5,Solomon Airlines,Solomon Islands,Outbound,13.0,1086.0,1911.0,56.8
2025,5,Solomon Airlines,Vanuatu,Outbound,5.0,482.0,735.0,65.6
2025,5,Solomon Airlines,ALL SERVICES,Outbound,23.0,1797.0,3381.0,53.1
2025,5,South African Airways,South Africa,Outbound,20.0,3404.0,5060.0,67.3
2025,5,SriLankan Airlines,Sri Lanka,Outbound,49.0,11593.0,14522.0,79.8
2025,5,Tasman Cargo Airlines (a),Hong Kong (SAR),Outbound,25.0,,,
2025,5,Tasman Cargo Airlines (a),New Zealand,Outbound,48.0,,,
2025,5,Tasman Cargo Airlines,ALL SERVICES,Outbound,73.0,,,
2025,5,Thai Airways International,Thailand,Outbound,155.0,34700.0,50425.0,68.8
2025,5,Tianjin Airlines,China,Outbound,9.0,2037.0,2340.0,87.1
2025,5,TransNusa,Indonesia,Outbound,18.0,1802.0,3132.0,57.5
2025,5,Turkish Airlines,Turkey,Outbound,31.0,7119.0,10199.0,69.8
2025,5,T'way Air,Korea,Outbound,15.0,4265.0,5205.0,81.9
2025,5,United Airlines,USA,Outbound,122.0,22072.0,32340.0,68.2
2025,5,United Parcel Service (a),China,Outbound,14.0,,,
2025,5,United Parcel Service (a),Korea,Outbound,13.0,,,
2025,5,United Parcel Service (a),Singapore,Outbound,5.0,,,
2025,5,United Parcel Service,ALL SERVICES,Outbound,32.0,,,
2025,5,Vietjet Air,Vietnam,Outbound,88.0,17052.0,31118.0,54.8
2025,5,Vietnam Airlines,Vietnam,Outbound,85.0,21261.0,25998.0,81.8
2025,5,Virgin Australia,Fiji,Outbound,70.0,9904.0,12596.0,78.6
2025,5,Virgin Australia,Indonesia,Outbound,136.0,22113.0,24626.0,89.8
2025,5,Virgin Australia,New Zealand,Outbound,33.0,4244.0,5868.0,72.3
2025,5,Virgin Australia,Vanuatu,Outbound,31.0,3517.0,5516.0,63.8
2025,5,Virgin Australia,Western Samoa,Outbound,5.0,677.0,898.0,75.4
2025,5,Virgin Australia,ALL SERVICES,Outbound,275.0,40455.0,49504.0,81.7
2025,5,Xiamen Airlines,China,Outbound,51.0,12574.0,13936.0,90.2
