Year,Australian_City,Foreign_City,Direction,Metric,Value
2024,Australia,Santiago,Inbound,Passengers,9733
2024,Australia,Seoul,Inbound,Passengers,35317
2024,Australia,Shanghai,Inbound,Passengers,26006
2024,Australia,Shenzhen,Inbound,Passengers,2654
2024,Australia,Singapore,Inbound,Passengers,235791
2024,Australia,Taipei,Inbound,Passengers,12989
2024,Australia,Taiyuan,Inbound,Passengers,49
2024,Australia,Tianjin,Inbound,Passengers,192
2024,Australia,Tokyo,Inbound,Passengers,58623
2024,Australia,Tongatapu,Inbound,Passengers,483
2024,Australia,Toronto,Inbound,Passengers,1368
2024,Australia,Vancouver,Inbound,Passengers,13742
2024,Australia,Wellington,Inbound,Passengers,26838
2024,Australia,Wuhan,Inbound,Passengers,1548
2024,Australia,Xiamen,Inbound,Passengers,11836
2024,Australia,Xi'an,Inbound,Passengers,424
2024,Australia,Zhengzhou,Inbound,Passengers,1184
2024,Adelaide,Auckland,Outbound,Passengers,2296
2024,Adelaide,Denpasar,Outbound,Passengers,9752
2024,Adelaide,Doha,Outbound,Passengers,8977
2024,Adelaide,Dubai,Outbound,Passengers,0
2024,Adelaide,Ho Chi Minh City,Outbound,Passengers,701
2024,Adelaide,Kuala Lumpur,Outbound,Passengers,4833
2024,Adelaide,Nadi,Outbound,Passengers,974
2024,Adelaide,Singapore,Outbound,Passengers,9734
2024,Brisbane,Apia,Outbound,Passengers,2998
2024,Brisbane,Auckland,Outbound,Passengers,33632
2024,Brisbane,Bangkok,Outbound,Passengers,0
2024,Brisbane,Christchurch,Outbound,Passengers,8055
2024,Brisbane,Denpasar,Outbound,Passengers,18588
2024,Brisbane,Doha,Outbound,Passengers,10523
2024,Brisbane,Dubai,Outbound,Passengers,22992
2024,Brisbane,Espiritu Santo,Outbound,Passengers,114
2024,Brisbane,Guangzhou,Outbound,Passengers,4729
2024,Brisbane,Ho Chi Minh City,Outbound,Passengers,3904
2024,Brisbane,Hong Kong,Outbound,Passengers,7947
2024,Brisbane,Honiara,Outbound,Passengers,1640
2024,Brisbane,Kuala Lumpur,Outbound,Passengers,74
