Year,Month,Airline_Name,Country,Passengers,Freight_tonnes,Mail_tonnes,Direction,DateID,YearMonthDate
2009,2,Emirates,Thailand,1411.0,2.8,0.0,Inbound,200902,2009-02-01
2009,2,Emirates,Thailand,1777.0,0.4,0.0,Outbound,200902,2009-02-01
2009,2,Emirates,United Arab Emirates,48776.0,1389.9,183.3,Inbound,200902,2009-02-01
2009,2,Emirates,United Arab Emirates,36122.0,2085.9,0.5,Outbound,200902,2009-02-01
2009,2,Etihad Airways,Singapore,918.0,44.0,0.0,Inbound,200902,2009-02-01
2009,2,Etihad Airways,Singapore,424.0,58.4,0.0,Outbound,200902,2009-02-01
2009,2,Etihad Airways,United Arab Emirates,12513.0,295.1,10.7,Inbound,200902,2009-02-01
2009,2,Etihad Airways,United Arab Emirates,8674.0,489.1,13.5,Outbound,200902,2009-02-01
2009,2,Eva Air,Taiwan,2824.0,82.4,4.0,Inbound,200902,2009-02-01
2009,2,Eva Air,Taiwan,2445.0,32.5,1.0,Outbound,200902,2009-02-01
2009,2,Federal Express Corporation,China,,23.2,0.0,Outbound,200902,2009-02-01
2009,2,Federal Express Corporation,Philippines,,38.2,0.0,Outbound,200902,2009-02-01
2009,2,Federal Express Corporation,USA,,762.0,17.0,Inbound,200902,2009-02-01
2009,2,Garuda Indonesia,Indonesia,11576.0,158.5,8.6,Inbound,200902,2009-02-01
2009,2,Garuda Indonesia,Indonesia,9435.0,76.5,0.0,Outbound,200902,2009-02-01
2009,2,Hawaiian Airlines,USA,1519.0,4.1,2.3,Inbound,200902,2009-02-01
2009,2,Hawaiian Airlines,USA,1462.0,32.0,0.0,Outbound,200902,2009-02-01
2009,2,JALways,Japan,17709.0,223.7,69.0,Inbound,200902,2009-02-01
2009,2,JALways,Japan,16211.0,177.3,0.2,Outbound,200902,2009-02-01
2009,2,Jetstar,Indonesia,10943.0,120.3,0.0,Inbound,200902,2009-02-01
2009,2,Jetstar,Indonesia,10649.0,12.7,0.3,Outbound,200902,2009-02-01
2009,2,Jetstar,Japan,19795.0,124.1,30.0,Inbound,200902,2009-02-01
2009,2,Jetstar,Japan,17893.0,97.1,5.3,Outbound,200902,2009-02-01
2009,2,Jetstar,New Zealand,13851.0,36.1,0.0,Inbound,200902,2009-02-01
2009,2,Jetstar,New Zealand,15368.0,22.4,0.0,Outbound,200902,2009-02-01
2009,2,Jetstar,Singapore,11207.0,17.4,0.0,Inbound,200902,2009-02-01
2009,2,Jetstar,Singapore,7802.0,3.8,10.0,Outbound,200902,2009-02-01
2009,2,Jetstar,Thailand,5833.0,119.1,0.7,Inbound,200902,2009-02-01
2009,2,Jetstar,Thailand,4350.0,80.5,1.1,Outbound,200902,2009-02-01
2009,2,Jetstar,USA,2755.0,75.2,0.3,Inbound,200902,2009-02-01
2009,2,Jetstar,USA,2405.0,55.8,0.3,Outbound,200902,2009-02-01
2009,2,Jetstar,Vietnam,3073.0,0.9,0.0,Inbound,200902,2009-02-01
2009,2,Jetstar,Vietnam,1874.0,0.0,0.0,Outbound,200902,2009-02-01
2009,2,Korean Air,Korea,16003.0,604.5,79.5,Inbound,200902,2009-02-01
2009,2,Korean Air,Korea,12227.0,405.9,2.8,Outbound,200902,2009-02-01
2009,2,LAN Airlines,Chile,2590.0,130.6,1.1,Inbound,200902,2009-02-01
2009,2,LAN Airlines,Chile,2977.0,80.8,3.1,Outbound,200902,2009-02-01
2009,2,LAN Airlines,New Zealand,1186.0,38.7,0.0,Inbound,200902,2009-02-01
2009,2,LAN Airlines,New Zealand,2623.0,38.1,0.0,Outbound,200902,2009-02-01
2009,2,Malaysia Airlines,Malaysia,32092.0,2078.4,12.2,Inbound,200902,2009-02-01
2009,2,Malaysia Airlines,Malaysia,26188.0,1454.6,0.0,Outbound,200902,2009-02-01
2009,2,Our Airline,Nauru,204.0,0.5,0.0,Inbound,200902,2009-02-01
2009,2,Our Airline,Nauru,226.0,10.9,0.0,Outbound,200902,2009-02-01
2009,2,Our Airline,Solomon Islands,441.0,0.0,0.0,Inbound,200902,2009-02-01
2009,2,Our Airline,Solomon Islands,532.0,0.0,0.0,Outbound,200902,2009-02-01
2009,2,OzJet,Indonesia,185.0,0.0,0.0,Inbound,200902,2009-02-01
2009,2,OzJet,Indonesia,260.0,0.0,0.0,Outbound,200902,2009-02-01
2009,2,Pacific Air Express,Solomon Islands,,1.8,0.0,Inbound,200902,2009-02-01
2009,2,Pacific Air Express,Solomon Islands,,45.7,0.0,Outbound,200902,2009-02-01
2009,2,Philippine Airlines,Philippines,6270.0,91.5,5.4,Inbound,200902,2009-02-01
2009,2,Philippine Airlines,Philippines,5088.0,92.1,0.0,Outbound,200902,2009-02-01
2009,2,Qantas Airways,Argentina,2875.0,13.6,0.0,Inbound,200902,2009-02-01
2009,2,Qantas Airways,Argentina,3738.0,19.8,0.8,Outbound,200902,2009-02-01
2009,2,Qantas Airways,China,8613.0,399.7,16.6,Inbound,200902,2009-02-01
2009,2,Qantas Airways,China,7071.0,191.8,8.4,Outbound,200902,2009-02-01
2009,2,Qantas Airways,Germany,3782.0,170.7,3.7,Inbound,200902,2009-02-01
2009,2,Qantas Airways,Germany,3696.0,22.0,44.4,Outbound,200902,2009-02-01
