Year,Month,Airline_Name,Country,Direction,Passengers,Freight_tonnes,Mail_tonnes,Is_Total_AllServices
2009,1,Qantas Airways,Japan,Inbound,11388.0,120.1,54.1,False
2009,1,Qantas Airways,Japan,Outbound,10373.0,84.0,75.2,False
2009,1,Qantas Airways,New Caledonia,Inbound,2953.0,1.4,0.2,False
2009,1,Qantas Airways,New Caledonia,Outbound,2415.0,9.5,2.5,False
2009,1,Qantas Airways,New Zealand,Inbound,58995.0,1297.5,0.0,False
2009,1,Qantas Airways,New Zealand,Outbound,55872.0,1078.3,145.2,False
2009,1,Qantas Airways,Philippines,Inbound,3800.0,29.1,5.1,False
2009,1,Qantas Airways,Philippines,Outbound,2909.0,57.0,2.1,False
2009,1,Qantas Airways,Singapore,Inbound,47056.0,957.5,34.1,False
2009,1,Qantas Airways,Singapore,Outbound,39136.0,1831.1,153.1,False
2009,1,Qantas Airways,South Africa,Inbound,7534.0,74.2,4.2,False
2009,1,Qantas Airways,South Africa,Outbound,6970.0,33.4,9.5,False
2009,1,Qantas Airways,Thailand,Inbound,3430.0,111.1,7.7,False
2009,1,Qantas Airways,Thailand,Outbound,3336.0,136.7,15.3,False
2009,1,Qantas Airways,UK,Inbound,19705.0,327.5,66.7,False
2009,1,Qantas Airways,UK,Outbound,18843.0,67.1,147.3,False
2009,1,Qantas Airways,USA,Inbound,50608.0,1387.5,186.8,False
2009,1,Qantas Airways,USA,Outbound,40914.0,384.0,172.3,False
2009,1,Royal Brunei Airlines,Brunei,Inbound,8683.0,62.2,0.1,False
2009,1,Royal Brunei Airlines,Brunei,Outbound,6045.0,122.6,0.0,False
2009,1,Royal Brunei Airlines,New Zealand,Inbound,1549.0,46.1,0.0,False
2009,1,Royal Brunei Airlines,New Zealand,Outbound,1589.0,36.9,0.0,False
2009,1,Singapore Airlines,Singapore,Inbound,141528.0,3664.5,143.7,False
2009,1,Singapore Airlines,Singapore,Outbound,111712.0,5125.6,0.7,False
2009,1,SkyAirWorld,Solomon Islands,Inbound,393.0,0.0,0.0,False
2009,1,SkyAirWorld,Solomon Islands,Outbound,305.0,0.0,0.0,False
2009,1,Solomon Airlines,Solomon Islands,Inbound,401.0,2.7,0.0,False
2009,1,Solomon Airlines,Solomon Islands,Outbound,335.0,4.6,0.0,False
2009,1,South African Airways,South Africa,Inbound,6562.0,27.0,3.2,False
2009,1,South African Airways,South Africa,Outbound,5675.0,85.1,1.6,False
2009,1,Thai Airways International,Thailand,Inbound,49994.0,1265.9,175.1,False
2009,1,Thai Airways International,Thailand,Outbound,35166.0,1717.2,3.3,False
2009,1,Tiger Airways,Singapore,Inbound,5128.0,0.0,0.0,False
2009,1,Tiger Airways,Singapore,Outbound,3969.0,0.0,0.0,False
2009,1,United Airlines,USA,Inbound,22081.0,87.8,75.1,False
2009,1,United Airlines,USA,Outbound,20526.0,377.0,9.9,False
2009,1,Vietnam Airlines,Vietnam,Inbound,11218.0,130.3,0.0,False
2009,1,Vietnam Airlines,Vietnam,Outbound,10097.0,54.1,0.0,False
2009,1,Virgin Atlantic Airways,Hong Kong (SAR),Inbound,5610.0,200.8,0.0,False
2009,1,Virgin Atlantic Airways,Hong Kong (SAR),Outbound,2839.0,128.0,0.0,False
2009,1,Virgin Atlantic Airways,UK,Inbound,3256.0,19.2,0.0,False
2009,1,Virgin Atlantic Airways,UK,Outbound,3791.0,12.5,0.0,False
2009,1,Virgin Australia,Fiji,Inbound,8839.0,5.8,0.0,False
2009,1,Virgin Australia,Fiji,Outbound,6329.0,33.2,0.0,False
2009,1,Virgin Australia,Indonesia,Inbound,7226.0,0.0,0.0,False
2009,1,Virgin Australia,Indonesia,Outbound,6347.0,0.0,0.0,False
2009,1,Virgin Australia,New Zealand,Inbound,40708.0,32.6,0.0,False
2009,1,Virgin Australia,New Zealand,Outbound,41058.0,35.5,0.0,False
2009,1,Virgin Australia,Papua New Guinea,Inbound,1284.0,0.0,0.0,False
2009,1,Virgin Australia,Papua New Guinea,Outbound,1112.0,4.1,0.0,False
2009,1,Virgin Australia,Solomon Islands,Inbound,634.0,0.0,0.0,False
2009,1,Virgin Australia,Solomon Islands,Outbound,615.0,5.8,0.0,False
2009,1,Virgin Australia,Tonga,Inbound,1291.0,3.9,0.0,False
2009,1,Virgin Australia,Tonga,Outbound,959.0,1.1,0.0,False
2009,1,Virgin Australia,Vanuatu,Inbound,3389.0,0.9,0.0,False
2009,1,Virgin Australia,Vanuatu,Outbound,2806.0,3.2,0.0,False
2009,1,Virgin Samoa,Western Samoa,Inbound,2443.0,0.7,0.0,False
2009,1,Virgin Samoa,Western Samoa,Outbound,1605.0,1.3,0.0,False
2009,2,Aerolineas Argentinas,Argentina,Inbound,2600.0,4.0,0.7,False
2009,2,Aerolineas Argentinas,Argentina,Outbound,2226.0,8.8,0.0,False
2009,2,Aerolineas Argentinas,New Zealand,Inbound,481.0,113.4,0.0,False
2009,2,Aerolineas Argentinas,New Zealand,Outbound,1299.0,95.1,0.0,False
2009,2,Air Caledonie,New Caledonia,Inbound,3248.0,1.7,0.7,False
2009,2,Air Caledonie,New Caledonia,Outbound,5939.0,56.6,1.9,False
2009,2,Air Canada,Canada,Inbound,5649.0,175.6,0.0,False
2009,2,Air Canada,Canada,Outbound,4823.0,164.7,0.0,False
2009,2,Air China,China,Inbound,11072.0,177.4,14.5,False
2009,2,Air China,China,Outbound,9063.0,191.7,2.3,False
2009,2,Air Mauritius,Mauritius,Inbound,2183.0,33.2,0.4,False
2009,2,Air Mauritius,Mauritius,Outbound,1181.0,49.7,0.0,False
2009,2,Air New Zealand,New Zealand,Inbound,79791.0,1959.9,229.2,False
2009,2,Air New Zealand,New Zealand,Outbound,83383.0,1304.0,3.8,False
2009,2,Air Niugini,Papua New Guinea,Inbound,6022.0,38.2,0.9,False
2009,2,Air Niugini,Papua New Guinea,Outbound,6102.0,236.8,5.1,False
2009,2,Air Pacific,Fiji,Inbound,9627.0,207.9,0.0,False
2009,2,Air Pacific,Fiji,Outbound,8864.0,270.3,14.7,False
2009,2,Air Tahiti Nui,Tahiti,Inbound,618.0,11.0,0.0,False
2009,2,Air Tahiti Nui,Tahiti,Outbound,659.0,30.6,0.0,False
2009,2,Air Vanuatu,Vanuatu,Inbound,2696.0,9.0,0.0,False
2009,2,Air Vanuatu,Vanuatu,Outbound,2722.0,43.5,0.0,False
2009,2,AirAsia X,Malaysia,Inbound,17063.0,104.4,0.0,False
2009,2,AirAsia X,Malaysia,Outbound,10837.0,0.0,0.0,False
2009,2,Airlines PNG,Papua New Guinea,Inbound,335.0,0.8,0.0,False
2009,2,Airlines PNG,Papua New Guinea,Outbound,330.0,5.2,0.0,False
2009,2,Asiana Airlines,Korea,Inbound,7744.0,184.9,6.9,False
2009,2,Asiana Airlines,Korea,Outbound,6736.0,70.1,0.0,False
2009,2,British Airways,Singapore,Inbound,1921.0,102.7,0.0,False
2009,2,British Airways,Singapore,Outbound,2083.0,181.9,0.0,False
2009,2,British Airways,Thailand,Inbound,3535.0,31.1,0.2,False
2009,2,British Airways,Thailand,Outbound,3514.0,35.1,0.0,False
2009,2,British Airways,UK,Inbound,9093.0,311.5,58.8,False
2009,2,British Airways,UK,Outbound,6196.0,99.6,0.0,False
2009,2,Cathay Pacific Airways,Hong Kong (SAR),Inbound,64326.0,2387.6,117.8,False
2009,2,Cathay Pacific Airways,Hong Kong (SAR),Outbound,45682.0,3716.2,26.3,False
2009,2,China Airlines,Taiwan,Inbound,8062.0,66.9,14.6,False
2009,2,China Airlines,Taiwan,Outbound,6179.0,29.2,0.0,False
2009,2,China Eastern Airlines,China,Inbound,10789.0,152.1,6.2,False
2009,2,China Eastern Airlines,China,Outbound,7195.0,107.4,1.9,False
2009,2,China Southern Airlines,China,Inbound,6751.0,147.6,11.1,False
2009,2,China Southern Airlines,China,Outbound,4639.0,6.2,3.5,False
2009,2,Continental Micronesia,Guam,Inbound,1097.0,0.3,0.0,False
2009,2,Continental Micronesia,Guam,Outbound,1066.0,2.0,0.0,False
2009,2,Emirates,New Zealand,Inbound,20913.0,1018.1,0.0,False
2009,2,Emirates,New Zealand,Outbound,19364.0,704.3,0.2,False
2009,2,Emirates,Singapore,Inbound,2447.0,89.6,22.6,False
2009,2,Emirates,Singapore,Outbound,2008.0,322.2,0.0,False
2009,2,Emirates,Thailand,Inbound,1411.0,2.8,0.0,False
2009,2,Emirates,Thailand,Outbound,1777.0,0.4,0.0,False
2009,2,Emirates,United Arab Emirates,Inbound,48776.0,1389.9,183.3,False
2009,2,Emirates,United Arab Emirates,Outbound,36122.0,2085.9,0.5,False
2009,2,Etihad Airways,Singapore,Inbound,918.0,44.0,0.0,False
2009,2,Etihad Airways,Singapore,Outbound,424.0,58.4,0.0,False
2009,2,Etihad Airways,United Arab Emirates,Inbound,12513.0,295.1,10.7,False
2009,2,Etihad Airways,United Arab Emirates,Outbound,8674.0,489.1,13.5,False
2009,2,Eva Air,Taiwan,Inbound,2824.0,82.4,4.0,False
2009,2,Eva Air,Taiwan,Outbound,2445.0,32.5,1.0,False
2009,2,Garuda Indonesia,Indonesia,Inbound,11576.0,158.5,8.6,False
2009,2,Garuda Indonesia,Indonesia,Outbound,9435.0,76.5,0.0,False
2009,2,Hawaiian Airlines,USA,Inbound,1519.0,4.1,2.3,False
2009,2,Hawaiian Airlines,USA,Outbound,1462.0,32.0,0.0,False
2009,2,JALways,Japan,Inbound,17709.0,223.7,69.0,False
2009,2,JALways,Japan,Outbound,16211.0,177.3,0.2,False
2009,2,Jetstar,Indonesia,Inbound,10943.0,120.3,0.0,False
2009,2,Jetstar,Indonesia,Outbound,10649.0,12.7,0.3,False
2009,2,Jetstar,Japan,Inbound,19795.0,124.1,30.0,False
2009,2,Jetstar,Japan,Outbound,17893.0,97.1,5.3,False
2009,2,Jetstar,New Zealand,Inbound,13851.0,36.1,0.0,False
2009,2,Jetstar,New Zealand,Outbound,15368.0,22.4,0.0,False
2009,2,Jetstar,Singapore,Inbound,11207.0,17.4,0.0,False
2009,2,Jetstar,Singapore,Outbound,7802.0,3.8,10.0,False
2009,2,Jetstar,Thailand,Inbound,5833.0,119.1,0.7,False
2009,2,Jetstar,Thailand,Outbound,4350.0,80.5,1.1,False
2009,2,Jetstar,USA,Inbound,2755.0,75.2,0.3,False
2009,2,Jetstar,USA,Outbound,2405.0,55.8,0.3,False
2009,2,Jetstar,Vietnam,Inbound,3073.0,0.9,0.0,False
2009,2,Jetstar,Vietnam,Outbound,1874.0,0.0,0.0,False
2009,2,Korean Air,Korea,Inbound,16003.0,604.5,79.5,False
2009,2,Korean Air,Korea,Outbound,12227.0,405.9,2.8,False
2009,2,LAN Airlines,Chile,Inbound,2590.0,130.6,1.1,False
2009,2,LAN Airlines,Chile,Outbound,2977.0,80.8,3.1,False
2009,2,LAN Airlines,New Zealand,Inbound,1186.0,38.7,0.0,False
2009,2,LAN Airlines,New Zealand,Outbound,2623.0,38.1,0.0,False
2009,2,Malaysia Airlines,Malaysia,Inbound,32092.0,2078.4,12.2,False
2009,2,Malaysia Airlines,Malaysia,Outbound,26188.0,1454.6,0.0,False
2009,2,Our Airline,Nauru,Inbound,204.0,0.5,0.0,False
2009,2,Our Airline,Nauru,Outbound,226.0,10.9,0.0,False
2009,2,Our Airline,Solomon Islands,Inbound,441.0,0.0,0.0,False
2009,2,Our Airline,Solomon Islands,Outbound,532.0,0.0,0.0,False
2009,2,OzJet,Indonesia,Inbound,185.0,0.0,0.0,False
2009,2,OzJet,Indonesia,Outbound,260.0,0.0,0.0,False
2009,2,Philippine Airlines,Philippines,Inbound,6270.0,91.5,5.4,False
2009,2,Philippine Airlines,Philippines,Outbound,5088.0,92.1,0.0,False
2009,2,Qantas Airways,Argentina,Inbound,2875.0,13.6,0.0,False
2009,2,Qantas Airways,Argentina,Outbound,3738.0,19.8,0.8,False
2009,2,Qantas Airways,China,Inbound,8613.0,399.7,16.6,False
2009,2,Qantas Airways,China,Outbound,7071.0,191.8,8.4,False
2009,2,Qantas Airways,Germany,Inbound,3782.0,170.7,3.7,False
2009,2,Qantas Airways,Germany,Outbound,3696.0,22.0,44.4,False
2009,2,Qantas Airways,Hong Kong (SAR),Inbound,27598.0,728.6,11.3,False
2009,2,Qantas Airways,Hong Kong (SAR),Outbound,23416.0,1032.7,55.8,False
2009,2,Qantas Airways,India,Inbound,2140.0,47.8,0.0,False
2009,2,Qantas Airways,India,Outbound,2005.0,23.8,4.2,False
2009,2,Qantas Airways,Indonesia,Inbound,3921.0,44.6,0.0,False
2009,2,Qantas Airways,Indonesia,Outbound,2657.0,129.7,3.1,False
2009,2,Qantas Airways,Japan,Inbound,10360.0,111.3,50.3,False
2009,2,Qantas Airways,Japan,Outbound,9175.0,100.9,55.2,False
2009,2,Qantas Airways,New Caledonia,Inbound,1650.0,0.7,0.2,False
2009,2,Qantas Airways,New Caledonia,Outbound,2411.0,12.1,2.0,False
