Foreign_City,Australian_City,Pax_2024_In,Pax_2024_Out,Pax_2025_In,Pax_2025_Out,Freight_2024_In_t,Freight_2024_Out_t,Freight_2025_In_t,Freight_2025_Out_t,Is_Total_Row
Ho Chi Minh City,Perth,2580.0,2741.0,4387.0,3291.0,102.8,31.7,94.2,26.6,False
Hong Kong,Perth,5139.0,6666.0,9713.0,11063.0,334.4,564.1,577.9,384.4,False
Jakarta,Perth,2836.0,2756.0,2224.0,1909.0,0.0,0.0,0.0,0.0,False
Johannesburg,Perth,2100.0,2377.0,3608.0,3404.0,1.9,52.2,26.0,137.1,False
Kuala Lumpur,Perth,24310.0,21198.0,20462.0,17731.0,408.4,192.2,52.9,33.6,False
London,Perth,4621.0,5319.0,6047.0,6789.0,34.7,0.3,71.4,0.1,False
Manila,Perth,1454.0,1433.0,2160.0,1928.0,9.6,0.2,12.0,0.5,False
Mauritius,Perth,1849.0,2205.0,1788.0,1883.0,30.9,60.2,16.4,39.9,False
Paris,Perth,0.0,0.0,1373.0,1735.0,0.0,0.0,9.0,0.2,False
Phuket,Perth,0.0,0.0,4054.0,3710.0,0.0,0.0,0.0,0.0,False
Singapore,Perth,55565.0,57176.0,60565.0,58918.0,1948.3,2087.1,1856.4,2089.2,False
Tokyo,Perth,0.0,0.0,1548.0,1510.0,0.0,0.0,226.8,191.2,False
Auckland,Sunshine Coast,0.0,0.0,1576.0,1507.0,0.0,0.0,0.0,0.0,False
Abu Dhabi,Sydney,7828.0,9687.0,8899.0,10136.0,287.8,204.3,198.4,221.2,False
Auckland,Sydney,49980.0,45566.0,50662.0,46928.0,1429.6,2113.0,1057.4,1857.2,False
Bangalore,Sydney,4799.0,4833.0,4323.0,4361.0,51.1,8.6,84.1,0.0,False
Bangkok,Sydney,20116.0,18325.0,21883.0,22148.0,1128.8,228.1,961.6,261.2,False
Beijing,Sydney,4235.0,4425.0,4700.0,4708.0,193.0,169.0,238.8,100.5,False
Chengdu,Sydney,3175.0,3559.0,4467.0,5123.0,123.6,36.2,173.4,66.4,False
Chicago,Sydney,0.0,0.0,0.0,0.0,738.7,0.0,457.0,1.6,False
Chongqing,Sydney,539.0,528.0,849.0,892.0,40.6,62.2,54.5,5.7,False
Christchurch,Sydney,14333.0,12679.0,15664.0,12842.0,585.0,124.0,447.5,162.1,False
