Australian_City,Foreign_City,Metric,Direction,Year,Value,Is_Total_Row
Adelaide,Nadi,Passengers,Inbound,2024,1039.0,False
Adelaide,Nadi,Passengers,Inbound,2025,1667.0,False
Adelaide,Nadi,Passengers,Outbound,2024,974.0,False
Adelaide,Nadi,Passengers,Outbound,2025,1456.0,False
Adelaide,Singapore,Freight_tonnes,Inbound,2024,325.8,False
Adelaide,Singapore,Freight_tonnes,Inbound,2025,442.7,False
Adelaide,Singapore,Freight_tonnes,Outbound,2024,336.5,False
Adelaide,Singapore,Freight_tonnes,Outbound,2025,329.6,False
Adelaide,Singapore,Passengers,Inbound,2024,9784.0,False
Adelaide,Singapore,Passengers,Inbound,2025,13848.0,False
Adelaide,Singapore,Passengers,Outbound,2024,9734.0,False
Adelaide,Singapore,Passengers,Outbound,2025,12975.0,False
Australia,Abu Dhabi,Freight_tonnes,Inbound,2024,610.7,True
Australia,Abu Dhabi,Freight_tonnes,Inbound,2025,377.2,True
Australia,Abu Dhabi,Freight_tonnes,Outbound,2024,504.2,True
Australia,Abu Dhabi,Freight_tonnes,Outbound,2025,541.0,True
Australia,Abu Dhabi,Passengers,Inbound,2024,13671.0,True
Australia,Abu Dhabi,Passengers,Inbound,2025,16407.0,True
Australia,Abu Dhabi,Passengers,Outbound,2024,18651.0,True
Australia,Abu Dhabi,Passengers,Outbound,2025,18928.0,True
Australia,Apia,Freight_tonnes,Inbound,2024,0.0,True
Australia,Apia,Freight_tonnes,Inbound,2025,0.0,True
Australia,Apia,Freight_tonnes,Outbound,2024,1.5,True
Australia,Apia,Freight_tonnes,Outbound,2025,0.3,True
Australia,Apia,Passengers,Inbound,2024,2292.0,True
Australia,Apia,Passengers,Inbound,2025,2312.0,True
Australia,Apia,Passengers,Outbound,2024,2998.0,True
Australia,Apia,Passengers,Outbound,2025,2371.0,True
Australia,Auckland,Freight_tonnes,Inbound,2024,3422.9,True
Australia,Auckland,Freight_tonnes,Inbound,2025,2768.0,True
Australia,Auckland,Freight_tonnes,Outbound,2024,4450.6,True
Australia,Auckland,Freight_tonnes,Outbound,2025,3773.2,True
Australia,Auckland,Passengers,Inbound,2024,147042.0,True
