Year,Month,YearMonthDate,Airline_Name,Service_Region,Direction,Flights,Passengers,Seats_Available,Seat_Utilisation,Is_Total_AllServices
2025,5,2025-05-01,Virgin Australia,New Zealand,Inbound,33.0,5298.0,5868.0,0.903,False
2025,5,2025-05-01,Virgin Australia,Vanuatu,Inbound,31.0,3359.0,5516.0,0.609,False
2025,5,2025-05-01,Virgin Australia,Western Samoa,Inbound,4.0,494.0,722.0,0.684,False
2025,5,2025-05-01,Virgin Australia,ALL SERVICES,Inbound,275.0,40981.0,49510.0,0.828,False
2025,5,2025-05-01,Xiamen Airlines,China,Inbound,51.0,12354.0,13936.0,0.8859999999999999,False
2025,5,2025-05-01,Air Caledonie International,New Caledonia,Outbound,17.0,2500.0,3667.0,0.682,False
2025,5,2025-05-01,Air Canada,Canada,Outbound,52.0,13749.0,15658.0,0.878,False
2025,5,2025-05-01,Air China,China,Outbound,31.0,8098.0,9031.0,0.897,False
2025,5,2025-05-01,Air India,India,Outbound,62.0,13322.0,15872.0,0.8390000000000001,False
2025,5,2025-05-01,Air Mauritius,Mauritius,Outbound,8.0,1883.0,2350.0,0.8009999999999999,False
2025,5,2025-05-01,Air New Zealand,New Zealand,Outbound,598.0,104447.0,126040.0,0.8290000000000001,False
2025,5,2025-05-01,Air Niugini,Papua New Guinea,Outbound,85.0,5269.0,10846.0,0.486,False
2025,5,2025-05-01,AirAsia Berhad,Malaysia,Outbound,33.0,5467.0,7788.0,0.7020000000000001,False
2025,5,2025-05-01,AirAsia X,Malaysia,Outbound,50.0,9381.0,18850.0,0.498,False
2025,5,2025-05-01,All Nippon Airways,Japan,Outbound,76.0,12282.0,18696.0,0.657,False
2025,5,2025-05-01,American Airlines,USA,Outbound,29.0,7569.0,8816.0,0.8590000000000001,False
2025,5,2025-05-01,Asiana Airlines,Korea,Outbound,31.0,7784.0,9362.0,0.831,False
2025,5,2025-05-01,Batik Air Indonesia,Indonesia,Outbound,49.0,5910.0,7644.0,0.773,False
2025,5,2025-05-01,Beijing Capital Airlines,China,Outbound,31.0,6148.0,9048.0,0.679,False
2025,5,2025-05-01,British Airways,UK,Outbound,30.0,6094.0,6480.0,0.94,False
2025,5,2025-05-01,Cathay Pacific Airways,Hong Kong (SAR),Outbound,308.0,74607.0,89764.0,0.831,False
2025,5,2025-05-01,Cebu Pacific Air,Philippines,Outbound,41.0,11062.0,18819.0,0.588,False
2025,5,2025-05-01,China Airlines,New Zealand,Outbound,19.0,2477.0,5814.0,0.426,False
2025,5,2025-05-01,China Airlines,Taiwan,Outbound,57.0,14322.0,17442.0,0.821,False
2025,5,2025-05-01,China Airlines,ALL SERVICES,Outbound,76.0,16799.0,23256.0,0.722,False
2025,5,2025-05-01,China Eastern Airlines,China,Outbound,164.0,32624.0,45340.0,0.72,False
2025,5,2025-05-01,China Eastern Airlines,New Zealand,Outbound,8.0,909.0,2112.0,0.43,False
2025,5,2025-05-01,China Eastern Airlines,ALL SERVICES,Outbound,172.0,33533.0,47452.0,0.7070000000000001,False
2025,5,2025-05-01,China Southern Airlines,China,Outbound,145.0,37344.0,40893.0,0.9129999999999999,False
2025,5,2025-05-01,Delta Air Lines,USA,Outbound,30.0,6488.0,9180.0,0.7070000000000001,False
2025,5,2025-05-01,Emirates,New Zealand,Outbound,31.0,5775.0,15004.0,0.385,False
2025,5,2025-05-01,Emirates,United Arab Emirates,Outbound,350.0,119420.0,151167.0,0.79,False
2025,5,2025-05-01,Emirates,ALL SERVICES,Outbound,381.0,125195.0,166171.0,0.753,False
2025,5,2025-05-01,Etihad Airways,United Arab Emirates,Outbound,66.0,18928.0,20469.0,0.925,False
2025,5,2025-05-01,Eva Air,Taiwan,Outbound,14.0,4072.0,4788.0,0.85,False
2025,5,2025-05-01,Federal Express Corporation,China,Outbound,25.0,,,,False
2025,5,2025-05-01,Federal Express Corporation,Singapore,Outbound,,,,,False
2025,5,2025-05-01,Federal Express Corporation,USA,Outbound,,,,,False
2025,5,2025-05-01,Federal Express Corporation,ALL SERVICES,Outbound,25.0,,,,False
2025,5,2025-05-01,Fiji Airways,Fiji,Outbound,179.0,32584.0,39796.0,0.8190000000000001,False
2025,5,2025-05-01,Garuda Indonesia,Indonesia,Outbound,60.0,13432.0,16311.0,0.823,False
2025,5,2025-05-01,Hainan Airlines,China,Outbound,27.0,6955.0,7886.0,0.882,False
2025,5,2025-05-01,Hawaiian Airlines,USA,Outbound,23.0,3829.0,6371.0,0.601,False
2025,5,2025-05-01,Indonesia AirAsia,Indonesia,Outbound,152.0,20324.0,27360.0,0.743,False
2025,5,2025-05-01,Japan Airlines,Japan,Outbound,44.0,7734.0,8184.0,0.945,False
2025,5,2025-05-01,Jetstar,Cook Islands,Outbound,22.0,3407.0,5104.0,0.6679999999999999,False
2025,5,2025-05-01,Jetstar,Fiji,Outbound,27.0,4313.0,6264.0,0.6890000000000001,False
2025,5,2025-05-01,Jetstar,Indonesia,Outbound,403.0,89256.0,93496.0,0.955,False
2025,5,2025-05-01,Jetstar,Japan,Outbound,101.0,29608.0,33835.0,0.875,False
2025,5,2025-05-01,Jetstar,Korea,Outbound,31.0,9399.0,10385.0,0.905,False
2025,5,2025-05-01,Jetstar,New Zealand,Outbound,259.0,43680.0,50524.0,0.865,False
2025,5,2025-05-01,Jetstar,USA,Outbound,13.0,3318.0,4355.0,0.762,False
2025,5,2025-05-01,Jetstar,Vanuatu,Outbound,14.0,2078.0,2598.0,0.8,False
2025,5,2025-05-01,Jetstar,Vietnam,Outbound,31.0,9854.0,10385.0,0.9490000000000001,False
2025,5,2025-05-01,Jetstar,ALL SERVICES,Outbound,1047.0,230859.0,259470.0,0.89,False
2025,5,2025-05-01,Jetstar Asia,Singapore,Outbound,9.0,665.0,1620.0,0.41,False
2025,5,2025-05-01,Juneyao Air,China,Outbound,31.0,7705.0,9982.0,0.772,False
2025,5,2025-05-01,Korean Air,Korea,Outbound,49.0,11444.0,13795.0,0.83,False
2025,5,2025-05-01,LATAM Airlines,Chile,Outbound,48.0,9735.0,12877.0,0.7559999999999999,False
2025,5,2025-05-01,Malaysia Airlines,Malaysia,Outbound,212.0,39271.0,52746.0,0.745,False
2025,5,2025-05-01,Malindo Air,Malaysia,Outbound,150.0,21486.0,26656.0,0.8059999999999999,False
2025,5,2025-05-01,Nauru Airlines,Nauru,Outbound,21.0,872.0,2348.0,0.371,False
2025,5,2025-05-01,Philippine Airlines,Philippines,Outbound,89.0,16001.0,21250.0,0.753,False
2025,5,2025-05-01,Qantas Airways,Canada,Outbound,13.0,2937.0,3067.0,0.958,False
2025,5,2025-05-01,Qantas Airways,Chile,Outbound,18.0,3535.0,4242.0,0.833,False
2025,5,2025-05-01,Qantas Airways,France,Outbound,12.0,2620.0,2831.0,0.9259999999999999,False
2025,5,2025-05-01,Qantas Airways,Hong Kong (SAR),Outbound,66.0,12591.0,16639.0,0.757,False
2025,5,2025-05-01,Qantas Airways,India,Outbound,36.0,7784.0,8785.0,0.8859999999999999,False
2025,5,2025-05-01,Qantas Airways,Indonesia,Outbound,97.0,20405.0,22659.0,0.9009999999999999,False
2025,5,2025-05-01,Qantas Airways,Japan,Outbound,124.0,30970.0,35530.0,0.872,False
2025,5,2025-05-01,Qantas Airways,Korea,Outbound,2.0,491.0,594.0,0.8270000000000001,False
2025,5,2025-05-01,Qantas Airways,Palau,Outbound,5.0,229.0,675.0,0.33899999999999997,False
2025,5,2025-05-01,Qantas Airways,Papua New Guinea,Outbound,31.0,3530.0,5289.0,0.667,False
2025,5,2025-05-01,Qantas Airways,Philippines,Outbound,49.0,11671.0,13521.0,0.863,False
2025,5,2025-05-01,Qantas Airways,Singapore,Outbound,179.0,38392.0,47028.0,0.816,False
2025,5,2025-05-01,Qantas Airways,Solomon Islands,Outbound,17.0,1087.0,1365.0,0.7959999999999999,False
2025,5,2025-05-01,Qantas Airways,South Africa,Outbound,20.0,8170.0,9692.0,0.843,False
2025,5,2025-05-01,Qantas Airways,Thailand,Outbound,36.0,7326.0,8603.0,0.852,False
2025,5,2025-05-01,Qantas Airways,Tonga,Outbound,9.0,993.0,1258.0,0.789,False
2025,5,2025-05-01,Qantas Airways,Vanuatu,Outbound,17.0,1164.0,1558.0,0.747,False
2025,5,2025-05-01,Qantas Airways,Western Somoa,Outbound,13.0,1717.0,2112.0,0.813,False
2025,5,2025-05-01,Qantas Airways,ALL SERVICES,Outbound,1757.0,307861.0,386416.0,0.797,False
