Airline_Name,Country,Passengers_May,Passengers_May_LY,Passengers_YoY,MarketShare_Passengers,Freight_2024_t,Freight_2025_t,Freight_YoY,MarketShare_Freight,Mail_2024_t,Mail_2025_t,Mail_YoY,MarketShare_Mail
Qantas Airways,New Caledonia,4399.0,2335.0,0.884,0.001,3.7,7.4,0.99,0.0,0.7,1.6,1.444,0.001
Qantas Airways,New Zealand,144118.0,133714.0,0.078,0.043,711.6,467.2,-0.34299999999999997,0.005,283.8,265.7,-0.064,0.12300000000000001
Qantas Airways,Palau,443.0,,,0.0,,,,,,,,
Qantas Airways,Papua New Guinea,6352.0,7183.0,-0.11599999999999999,0.002,1.1,1.1,-0.023,0.0,2.8,3.0,0.06,0.001
Qantas Airways,Philippines,17290.0,10286.0,0.6809999999999999,0.005,112.9,307.2,1.7209999999999999,0.003,11.8,11.8,,0.005
Qantas Airways,Singapore,83875.0,72608.0,0.155,0.025,1891.4,2285.4,0.20800000000000002,0.025,101.6,86.2,-0.152,0.04
Qantas Airways,Solomon Islands,1962.0,1333.0,0.47200000000000003,0.001,0.1,0.1,0.235,0.0,0.3,1.6,4.263999999999999,0.001
Qantas Airways,South Africa,13436.0,10073.0,0.33399999999999996,0.004,86.5,92.7,0.07200000000000001,0.001,3.2,2.3,-0.27399999999999997,0.001
Qantas Airways,Thailand,11920.0,10490.0,0.136,0.004,313.6,291.4,-0.071,0.003,7.4,6.8,-0.09,0.003
Qantas Airways,Tonga,1706.0,1041.0,0.639,0.001,0.2,0.4,0.976,0.0,0.1,,-1.0,
Qantas Airways,UK,24727.0,26537.0,-0.068,0.006999999999999999,171.3,136.5,-0.203,0.002,67.6,81.5,0.205,0.038
Qantas Airways,USA,82333.0,76716.0,0.073,0.025,2618.0,1701.0,-0.35,0.019,198.6,224.9,0.132,0.10400000000000001
Qantas Airways,Vanuatu,2234.0,,,0.001,,5.2,,0.0,,3.0,,0.001
Qantas Airways,Western Samoa,3512.0,3476.0,0.01,0.001,1.5,0.3,-0.805,0.0,0.5,0.1,-0.763,0.0
Qatar Airways,Qatar,119681.0,116925.0,0.024,0.036000000000000004,3695.8,2910.6,-0.212,0.032,53.0,50.9,-0.04,0.024
Royal Brunei Airlines,Brunei,5417.0,4040.0,0.341,0.002,316.5,389.9,0.23199999999999998,0.004,0.0,0.6,,0.0
Scoot Tigerair,Singapore,90563.0,89791.0,0.009000000000000001,0.027000000000000003,1464.5,1429.1,-0.024,0.016,13.6,23.2,0.708,0.011000000000000001
Sichuan Airlines,China,17579.0,13037.0,0.348,0.005,346.1,416.6,0.204,0.005,4.9,13.1,1.665,0.006
Singapore Airlines,New Zealand,,,,,438.2,492.3,0.12300000000000001,0.005,,,,
Singapore Airlines,Singapore,305766.0,292094.0,0.047,0.091,12965.6,13590.9,0.048,0.151,30.5,29.1,-0.044000000000000004,0.013000000000000001
Singapore Airlines,USA,,,,,1087.3,1322.8,0.217,0.015,,,,
Solomon Airlines,New Zealand,589.0,,,0.0,,0.4,,0.0,,,,
Solomon Airlines,Solomon Islands,2331.0,2348.0,-0.006999999999999999,0.001,22.2,15.7,-0.292,0.0,,,,
Solomon Airlines,Vanuatu,819.0,,,0.0,,7.3,,0.0,,,,
South African Airways,South Africa,7012.0,4477.0,0.5660000000000001,0.002,54.0,163.1,2.017,0.002,,,,
SriLankan Airlines,Sri Lanka,24234.0,20254.0,0.19699999999999998,0.006999999999999999,556.8,685.7,0.23199999999999998,0.008,3.2,3.8,0.2,0.002
T'way Air,Korea,8323.0,7698.0,0.081,0.002,54.2,211.5,2.9010000000000002,0.002,9.0,0.8,-0.909,0.0
Tasman Cargo Airlines,Hong Kong (SAR),,,,,2310.3,1181.7,-0.489,0.013000000000000001,,,,
Tasman Cargo Airlines,New Zealand,,,,,3171.1,2108.8,-0.335,0.023,,,,
Tasman Cargo Airlines,Singapore,,,,,884.0,,-1.0,,,,,
Thai AirAsia X,Thailand,,2945.0,-1.0,,100.3,,-1.0,,,,,
Thai Airways International,Thailand,69951.0,55268.0,0.266,0.021,2228.5,2567.9,0.152,0.027999999999999997,14.3,19.5,0.361,0.009000000000000001
Tianjin Airlines,China,3967.0,3597.0,0.10300000000000001,0.001,139.0,100.1,-0.28,0.001,3.1,5.9,0.907,0.003
TransNusa,Indonesia,3295.0,,,0.001,,,,,,,,
Turkish Airlines,Singapore,980.0,975.0,0.005,0.0,,0.1,,0.0,,,,
Turkish Airlines,Turkey,10586.0,4055.0,1.611,0.003,316.6,568.7,0.7959999999999999,0.006,1.3,2.5,0.9,0.001
United Airlines,USA,45591.0,43807.0,0.040999999999999995,0.013999999999999999,2164.2,1468.5,-0.321,0.016,305.8,271.4,-0.113,0.125
United Parcel Service,China,,,,,488.9,430.9,-0.11900000000000001,0.005,,,,
United Parcel Service,Korea,,,,,107.3,80.7,-0.248,0.001,,,,
United Parcel Service,Singapore,,,,,83.0,78.7,-0.051,0.001,,,,
United Parcel Service,USA,,,,,1219.1,1215.8,-0.003,0.013000000000000001,,,,
Vietjet Air,Vietnam,37810.0,31569.0,0.198,0.011000000000000001,474.4,559.3,0.179,0.006,,,,
Vietnam Airlines,Vietnam,42788.0,41128.0,0.04,0.013000000000000001,1391.7,1304.8,-0.062,0.013999999999999999,2.8,1.8,-0.379,0.001
Virgin Australia,Fiji,19746.0,19635.0,0.006,0.006,,,,,,,,
Virgin Australia,Indonesia,44101.0,44987.0,-0.02,0.013000000000000001,,,,,,,,
Virgin Australia,Japan,,4211.0,-1.0,,,,,,,,,
Virgin Australia,New Zealand,9542.0,6993.0,0.365,0.003,,,,,,,,
Virgin Australia,Vanuatu,6876.0,6479.0,0.061,0.002,,,,,,,,
Virgin Australia,Western Samoa,1171.0,1814.0,-0.354,0.0,,,,,,,,
Xiamen Airlines,China,24928.0,23860.0,0.045,0.006999999999999999,868.7,1036.1,0.193,0.011000000000000001,,1.1,,0.001
